func,iter,xcen,ycen,depth,radius,dP_mu
2.029954e+01,19,4.2623816e+05,4.5186691e+06,3.8722066e+03,9.2645202e+02,4.7412867e-03
2.030066e+01,17,4.2621590e+05,4.5186837e+06,3.9198241e+03,9.2213822e+02,4.8549333e-03
2.030077e+01,19,4.2622126e+05,4.5186459e+06,3.8689607e+03,9.1784899e+02,4.8557581e-03
2.030128e+01,19,4.2626348e+05,4.5186635e+06,3.8727953e+03,9.2754990e+02,4.7034868e-03
2.030154e+01,19,4.2622922e+05,4.5186833e+06,3.8666188e+03,9.5918320e+02,4.1795328e-03
2.030157e+01,19,4.2622140e+05,4.5186750e+06,3.8788790e+03,9.1330576e+02,4.8162305e-03
2.030187e+01,18,4.2624110e+05,4.5186576e+06,4.0065919e+03,9.6692523e+02,4.3344732e-03
2.030212e+01,19,4.2623825e+05,4.5186223e+06,4.0103440e+03,9.6001709e+02,4.4679517e-03
2.030257e+01,19,4.2622371e+05,4.5186640e+06,3.8494181e+03,9.2108852e+02,4.7585704e-03
2.030268e+01,18,4.2620987e+05,4.5186839e+06,3.8885060e+03,9.2468210e+02,4.7311236e-03
